time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1727242353316452864,0.927,0.0,0.0,0.0,0.0,0.0
1727242353324486918,0.942,0.0,0.0,0.0,0.0,0.0
1727242353340512025,0.958,0.0,0.0,0.0,0.0,0.0
1727242353356509622,0.974,0.0,0.0,0.0,0.0,0.0
1727242353372688059,0.99,0.0,0.0,0.0,0.0,0.0
1727242353384512260,0.998,0.0,0.0,0.0,0.0,0.0
1727242353400622972,1.006,0.0,0.0,0.0,0.0,0.0
1727242353410595481,1.006,0.0,0.0,0.0,0.0,0.0
1727242353416498762,1.022,0.0,0.0,0.0,0.0,0.0
1727242353432667010,1.03,0.0,0.0,0.0,0.0,0.0
1727242353444661422,1.046,0.0,0.0,0.0,0.0,0.0
1727242353460715729,1.062,0.0,0.0,0.0,0.0,0.0
1727242353476933122,1.078,0.0,0.0,0.0,0.0,0.0
1727242353492775010,1.102,0.0,0.0,0.0,0.0,0.0
1727242353510518338,1.102,0.0,0.0,0.0,0.0,0.0
1727242353516716216,1.142,0.0,0.0,0.0,0.0,0.0
1727242353528744479,1.181,0.0,0.0,0.0,0.0,0.0
1727242353548787484,1.237,0.0,0.0,0.0,0.0,0.0
1727242353556797921,1.333,0.0,0.0,0.0,0.0,0.0
1727242353576889434,1.42,0.0,0.0,0.0,0.0,0.0
1727242353592862730,1.492,0.0,0.0,0.0,0.0,0.0
1727242353609040912,1.5,0.0,0.0,0.0,0.0,0.0
1727242353610646990,1.5,0.0,0.0,0.0,0.0,0.0
1727242353711204043,1.5,0.0,0.0,0.0,0.0,0.0
1727242353811223827,1.5,0.0,0.0,0.0,0.0,0.0
1727242353911317637,1.5,0.0,0.0,0.0,0.0,0.0
1727242354011365020,1.5,0.0,0.0,0.0,0.0,0.0
1727242354110631680,1.5,0.0,0.0,0.0,0.0,0.0
1727242354210995400,1.5,0.0,0.0,0.0,0.0,0.0
1727242354311193412,1.5,0.0,0.0,0.0,0.0,0.0
1727242354411481792,1.5,0.0,0.0,0.0,0.0,0.0
1727242354510652640,1.5,0.0,0.0,0.0,0.0,0.0
1727242354610916306,1.5,0.0,0.0,0.0,0.0,0.0
1727242354711253469,1.5,0.0,0.0,0.0,0.0,0.0
1727242354810530058,1.5,0.0,0.0,0.0,0.0,0.0
1727242354910744293,1.5,0.0,0.0,0.0,0.0,0.0
1727242355011014857,1.5,0.0,0.0,0.0,0.0,0.0
1727242355110612051,1.5,0.0,0.0,0.0,0.0,0.0
1727242355210509009,1.5,0.0,0.0,0.0,0.0,0.0
1727242355310656145,1.5,0.0,0.0,0.0,0.0,0.0
1727242355411184945,1.5,0.0,0.0,0.0,0.0,0.0
1727242355511070099,1.5,0.0,0.0,0.0,0.0,0.0
1727242355611094654,1.5,0.0,0.0,0.0,0.0,0.0
1727242355711242992,1.5,0.0,0.0,0.0,0.0,0.0
1727242355811219829,1.5,0.0,0.0,0.0,0.0,0.0
1727242355910450249,1.5,0.0,0.0,0.0,0.0,0.0
1727242355915259046,1.484,0.0,0.0,0.0,0.0,0.0
1727242355927631699,1.476,0.0,0.0,0.0,0.0,0.0
1727242355943513554,1.46,0.0,0.0,0.0,0.0,0.0
1727242355959467628,1.444,0.0,0.0,0.0,0.0,0.0
1727242355975645098,1.428,0.0,0.0,0.0,0.0,0.0
1727242355999432551,1.412,0.0,0.0,0.0,0.0,0.0
1727242356010580826,1.412,0.0,0.0,0.0,0.0,0.0
1727242356019356490,1.396,0.0,0.0,0.0,0.0,0.0
1727242356027412133,1.381,0.0,0.0,0.0,0.0,0.0
1727242356043746792,1.365,0.0,0.0,0.0,0.0,0.0
1727242356059705904,1.349,0.0,0.0,0.0,0.0,0.0
1727242356075645111,1.333,0.0,0.0,0.0,0.0,0.0
1727242356095741405,1.317,0.0,0.0,0.0,0.0,0.0
1727242356103607409,1.301,0.0,0.0,0.0,0.0,0.0
